"CPUE_File","Stock","Name","EnglishName","ScientificName","StartYear","EndYear","Resilience","r.low","r.hi","Bk.yr","Bk.pr","Bk.pr.low","Bk.pr.hi","e.creep","Comment","Source","MSY.BSM","MSY.BSM.lcl","MSY.BSM.ucl","r.BSM","r.BSM.lcl","r.BSM.ucl","k.BSM","k.BSM.lcl","k.BSM.ucl","B_Bmsy","B_Bmsy.lcl","B_Bmsy.ucl","F_Fmsy","F_Fmsy.lcl","F_Fmsy.ucl"
"EU_Stocks_CPUE_1.csv","MERLMER_IS","Hake in Ionian Sea","NA","Merluccius merluccius",1994,2014,"Medium",0.35,0.8,1994,"Small","NA","NA","NA",,,23.5,16.05,34.41,0.62,0.45,0.84,151.92,126.29,182.74,0.25,0.03,0.59,1.17,0.49,10.72
"EU_Stocks_CPUE_1.csv","MERLMER_LI","Hake in Lions Gulf","NA","Merluccius merluccius",1998,2014,"Medium",0.35,0.8,1998,"Small","NA","NA","NA",,,2.18,1.93,2.46,0.63,0.54,0.75,13.76,11.9,15.91,0.31,0.03,0.59,3.6,1.91,39.57
"EU_Stocks_CPUE_1.csv","mgb-8c9a","Four-spot megrim in Divisions VIIIc and IXa (Bay of Biscay South, Atlantic Iberian Waters East)","NA","Lepidorhombus boscii",1986,2015,"Medium",0.23,0.52,1986,"Small","NA","NA","NA",,,1.88,1.63,2.18,0.36,0.3,0.42,21.16,18.25,24.54,1.13,0.75,1.29,0.71,0.62,1.08
"EU_Stocks_CPUE_1.csv","mgw-78","Megrim in Divisions VIIb–k and VIIIa, b, d (West and Southwest of Ireland, Bay of Biscay)","NA","Lepidorhombus whiffiagonis",1984,2015,"Medium",0.33,0.76,1984,"About half","NA","NA","NA",,,18.72,17.03,20.57,0.63,0.54,0.74,118.94,103.78,136.32,0.98,0.71,1.27,0.66,0.51,0.92
"EU_Stocks_CPUE_1.csv","mgw-8c9a","Megrim in Divisions VIIIc and IXa","NA","Lepidorhombus whiffiagonis",1986,2015,"Medium",0.33,0.76,1986,"Small","NA","NA","NA",,,0.79,0.67,0.93,0.69,0.57,0.83,4.55,3.99,5.2,0.27,0.03,0.57,2.47,1.15,25.75
"EU_Stocks_CPUE_1.csv","Micr_pou_AD","Blue whiting in Adriatic Sea","NA","Micromesistius poutassou",1995,2013,"Medium",0.31,0.71,1995,"More than half","NA","NA","NA",,,0.58,0.51,0.65,0.56,0.42,0.75,4.1,3.23,5.22,1.37,1.04,1.63,0.16,0.14,0.21
"EU_Stocks_CPUE_1.csv","Mull_bar_AD","Red mullet in Adriatic Sea","NA","Mullus barbatus",1994,2013,"Medium",0.42,1.04,1994,"Small","NA","NA","NA",,,4.73,4.16,5.37,0.64,0.51,0.79,29.75,24.14,36.67,1.37,1.03,1.68,0.41,0.33,0.54
"EU_Stocks_CPUE_1.csv","MULLSUR_IS","Surmulet in Ionian Sea","NA","Mullus surmuletus",1994,2010,"Medium",0.56,1.28,1994,"Very small","NA","NA","NA",,,0.6,0.5,0.72,1.09,0.94,1.26,2.21,1.96,2.49,0.13,0.02,0.39,2.24,0.76,11.99
"EU_Stocks_CPUE_1.csv","nep-11","Norway lobster in Division VIa – FU 11 (West of Scotland, North Minch)","NA","Nephrops norvegicus",1999,2014,"Medium",0.34,0.78,1999,"Small","NA","NA","NA",,,3.99,3.53,4.5,0.71,0.6,0.83,22.62,19.42,26.35,0.98,0.46,1.19,0.78,0.64,1.68
"EU_Stocks_CPUE_1.csv","nep-12","Norway lobster in Division VIa – FU 12 (West of Scotland, South Minch)","NA","Nephrops norvegicus",1999,2014,"Medium",0.34,0.78,1999,"Small","NA","NA","NA",,,5.1,4.51,5.77,0.7,0.59,0.82,29.34,25.3,34.03,0.98,0.47,1.19,0.64,0.52,1.33
"EU_Stocks_CPUE_1.csv","nep-13","Norway lobster in Division VIa – FU 13 (West of Scotland, the Firth of Clyde, and the Sound of Jura)","NA","Nephrops norvegicus",1995,2014,"Medium",0.34,0.78,1995,"Small","NA","NA","NA",,,6.09,5.55,6.69,0.69,0.59,0.81,35.38,30.46,41.1,0.87,0.43,1.18,1.23,0.91,2.49
"EU_Stocks_CPUE_1.csv","nep-2829","Nephrops in FUs 28 and 29","NA","Nephrops norvegicus",1998,2015,"Medium",0.34,0.78,1998,"Small","NA","NA","NA",,,0.29,0.24,0.34,0.59,0.48,0.72,1.95,1.69,2.25,1.1,0.73,1.29,0.71,0.61,1.07
"EU_Stocks_CPUE_1.csv","nep-32","Norway lobster in Division IVa, FU 32 (Northern North Sea, Norwegian Deep)","NA","Nephrops norvegicus",1994,2015,"Medium",0.34,0.78,1994,"About half","NA","NA","NA",,,0.76,0.6,0.96,0.51,0.4,0.65,5.99,5.17,6.94,0.26,0.03,0.58,1.59,0.7,14.1
"EU_Stocks_CPUE_1.csv","nep-6","Norway lobster in Division IVa, FU 7 (Northern North Sea, Fladen Ground)","NA","Nephrops norvegicus",2001,2015,"Medium",0.34,0.78,2001,"About half","NA","NA","NA",,,3.28,2.85,3.77,0.56,0.46,0.67,23.58,20.55,27.05,0.36,0.04,0.59,1.69,1.04,16.72
